"Scenario","Region","Variable","Year","Value"
"Canada Net-zero","Alberta","Battery Storage",2020,45
"Canada Net-zero","Alberta","Battery Storage",2021,45
"Canada Net-zero","Alberta","Battery Storage",2022,90
"Canada Net-zero","Alberta","Battery Storage",2023,90
"Canada Net-zero","Alberta","Battery Storage",2024,90
"Canada Net-zero","Alberta","Battery Storage",2025,90
"Canada Net-zero","Alberta","Battery Storage",2026,90
"Canada Net-zero","Alberta","Battery Storage",2027,90
"Canada Net-zero","Alberta","Battery Storage",2028,90
"Canada Net-zero","Alberta","Battery Storage",2029,90
"Canada Net-zero","Alberta","Battery Storage",2030,90
"Canada Net-zero","Alberta","Battery Storage",2031,90
"Canada Net-zero","Alberta","Battery Storage",2032,90
"Canada Net-zero","Alberta","Battery Storage",2033,90
"Canada Net-zero","Alberta","Battery Storage",2034,90
"Canada Net-zero","Alberta","Battery Storage",2035,90
"Canada Net-zero","Alberta","Battery Storage",2036,90
"Canada Net-zero","Alberta","Battery Storage",2037,90
"Canada Net-zero","Alberta","Battery Storage",2038,90
"Canada Net-zero","Alberta","Battery Storage",2039,90
"Canada Net-zero","Alberta","Battery Storage",2040,45
"Canada Net-zero","Alberta","Battery Storage",2041,45
"Canada Net-zero","Alberta","Battery Storage",2042,200
"Canada Net-zero","Alberta","Battery Storage",2043,200
"Canada Net-zero","Alberta","Battery Storage",2044,200
"Canada Net-zero","Alberta","Battery Storage",2045,200
"Canada Net-zero","Alberta","Battery Storage",2046,980
"Canada Net-zero","Alberta","Battery Storage",2047,2000
"Canada Net-zero","Alberta","Battery Storage",2048,2900
"Canada Net-zero","Alberta","Battery Storage",2049,2900
"Canada Net-zero","Alberta","Battery Storage",2050,2900
"Canada Net-zero","Alberta","Bioenergy",2020,286
"Canada Net-zero","Alberta","Bioenergy",2021,286
"Canada Net-zero","Alberta","Bioenergy",2022,286
"Canada Net-zero","Alberta","Bioenergy",2023,286
"Canada Net-zero","Alberta","Bioenergy",2024,286
"Canada Net-zero","Alberta","Bioenergy",2025,286
"Canada Net-zero","Alberta","Bioenergy",2026,286
"Canada Net-zero","Alberta","Bioenergy",2027,286
"Canada Net-zero","Alberta","Bioenergy",2028,286
"Canada Net-zero","Alberta","Bioenergy",2029,286
"Canada Net-zero","Alberta","Bioenergy",2030,286
"Canada Net-zero","Alberta","Bioenergy",2031,286
"Canada Net-zero","Alberta","Bioenergy",2032,286
"Canada Net-zero","Alberta","Bioenergy",2033,286
"Canada Net-zero","Alberta","Bioenergy",2034,286
"Canada Net-zero","Alberta","Bioenergy",2035,286
"Canada Net-zero","Alberta","Bioenergy",2036,286
"Canada Net-zero","Alberta","Bioenergy",2037,286
"Canada Net-zero","Alberta","Bioenergy",2038,286
"Canada Net-zero","Alberta","Bioenergy",2039,286
"Canada Net-zero","Alberta","Bioenergy",2040,286
"Canada Net-zero","Alberta","Bioenergy",2041,286
"Canada Net-zero","Alberta","Bioenergy",2042,286
"Canada Net-zero","Alberta","Bioenergy",2043,286
"Canada Net-zero","Alberta","Bioenergy",2044,286
"Canada Net-zero","Alberta","Bioenergy",2045,286
"Canada Net-zero","Alberta","Bioenergy",2046,286
"Canada Net-zero","Alberta","Bioenergy",2047,286
"Canada Net-zero","Alberta","Bioenergy",2048,286
"Canada Net-zero","Alberta","Bioenergy",2049,286
"Canada Net-zero","Alberta","Bioenergy",2050,286
"Canada Net-zero","Alberta","Bioenergy with CCUS",2020,0
"Canada Net-zero","Alberta","Bioenergy with CCUS",2021,0
"Canada Net-zero","Alberta","Bioenergy with CCUS",2022,0
"Canada Net-zero","Alberta","Bioenergy with CCUS",2023,0
"Canada Net-zero","Alberta","Bioenergy with CCUS",2024,0
"Canada Net-zero","Alberta","Bioenergy with CCUS",2025,0
"Canada Net-zero","Alberta","Bioenergy with CCUS",2026,0
"Canada Net-zero","Alberta","Bioenergy with CCUS",2027,0
"Canada Net-zero","Alberta","Bioenergy with CCUS",2028,0
"Canada Net-zero","Alberta","Bioenergy with CCUS",2029,0
"Canada Net-zero","Alberta","Bioenergy with CCUS",2030,0
"Canada Net-zero","Alberta","Bioenergy with CCUS",2031,146
"Canada Net-zero","Alberta","Bioenergy with CCUS",2032,291
"Canada Net-zero","Alberta","Bioenergy with CCUS",2033,437
"Canada Net-zero","Alberta","Bioenergy with CCUS",2034,582
"Canada Net-zero","Alberta","Bioenergy with CCUS",2035,728
"Canada Net-zero","Alberta","Bioenergy with CCUS",2036,872
"Canada Net-zero","Alberta","Bioenergy with CCUS",2037,1020
"Canada Net-zero","Alberta","Bioenergy with CCUS",2038,1160
"Canada Net-zero","Alberta","Bioenergy with CCUS",2039,1310
"Canada Net-zero","Alberta","Bioenergy with CCUS",2040,1450
"Canada Net-zero","Alberta","Bioenergy with CCUS",2041,1620
"Canada Net-zero","Alberta","Bioenergy with CCUS",2042,1780
"Canada Net-zero","Alberta","Bioenergy with CCUS",2043,1950
"Canada Net-zero","Alberta","Bioenergy with CCUS",2044,2120
"Canada Net-zero","Alberta","Bioenergy with CCUS",2045,2280
"Canada Net-zero","Alberta","Bioenergy with CCUS",2046,2470
"Canada Net-zero","Alberta","Bioenergy with CCUS",2047,2660
"Canada Net-zero","Alberta","Bioenergy with CCUS",2048,2850
"Canada Net-zero","Alberta","Bioenergy with CCUS",2049,3040
"Canada Net-zero","Alberta","Bioenergy with CCUS",2050,3230
"Canada Net-zero","Alberta","Coal and Coke",2020,4720
"Canada Net-zero","Alberta","Coal and Coke",2021,3340
"Canada Net-zero","Alberta","Coal and Coke",2022,1640
"Canada Net-zero","Alberta","Coal and Coke",2023,830
"Canada Net-zero","Alberta","Coal and Coke",2024,0
"Canada Net-zero","Alberta","Coal and Coke",2025,0
"Canada Net-zero","Alberta","Coal and Coke",2026,0
"Canada Net-zero","Alberta","Coal and Coke",2027,0
"Canada Net-zero","Alberta","Coal and Coke",2028,0
"Canada Net-zero","Alberta","Coal and Coke",2029,0
"Canada Net-zero","Alberta","Coal and Coke",2030,0
"Canada Net-zero","Alberta","Coal and Coke",2031,0
"Canada Net-zero","Alberta","Coal and Coke",2032,0
"Canada Net-zero","Alberta","Coal and Coke",2033,0
"Canada Net-zero","Alberta","Coal and Coke",2034,0
"Canada Net-zero","Alberta","Coal and Coke",2035,0
"Canada Net-zero","Alberta","Coal and Coke",2036,0
"Canada Net-zero","Alberta","Coal and Coke",2037,0
"Canada Net-zero","Alberta","Coal and Coke",2038,0
"Canada Net-zero","Alberta","Coal and Coke",2039,0
"Canada Net-zero","Alberta","Coal and Coke",2040,0
"Canada Net-zero","Alberta","Coal and Coke",2041,0
"Canada Net-zero","Alberta","Coal and Coke",2042,0
"Canada Net-zero","Alberta","Coal and Coke",2043,0
"Canada Net-zero","Alberta","Coal and Coke",2044,0
"Canada Net-zero","Alberta","Coal and Coke",2045,0
"Canada Net-zero","Alberta","Coal and Coke",2046,0
"Canada Net-zero","Alberta","Coal and Coke",2047,0
"Canada Net-zero","Alberta","Coal and Coke",2048,0
"Canada Net-zero","Alberta","Coal and Coke",2049,0
"Canada Net-zero","Alberta","Coal and Coke",2050,0
"Canada Net-zero","Alberta","Hydro",2020,894
"Canada Net-zero","Alberta","Hydro",2021,894
"Canada Net-zero","Alberta","Hydro",2022,894
"Canada Net-zero","Alberta","Hydro",2023,894
"Canada Net-zero","Alberta","Hydro",2024,894
"Canada Net-zero","Alberta","Hydro",2025,894
"Canada Net-zero","Alberta","Hydro",2026,894
"Canada Net-zero","Alberta","Hydro",2027,894
"Canada Net-zero","Alberta","Hydro",2028,894
"Canada Net-zero","Alberta","Hydro",2029,894
"Canada Net-zero","Alberta","Hydro",2030,894
"Canada Net-zero","Alberta","Hydro",2031,894
"Canada Net-zero","Alberta","Hydro",2032,894
"Canada Net-zero","Alberta","Hydro",2033,894
