"Scenario","Region","Variable","Year","Value"
"Canada Net-zero","Alberta","Interprovincial In-Flows",2005,1740.06
"Canada Net-zero","Alberta","Interprovincial In-Flows",2006,2025.42
"Canada Net-zero","Alberta","Interprovincial In-Flows",2007,1781.5
"Canada Net-zero","Alberta","Interprovincial In-Flows",2008,2298.93
"Canada Net-zero","Alberta","Interprovincial In-Flows",2009,4449.73
"Canada Net-zero","Alberta","Interprovincial In-Flows",2010,5024.25
"Canada Net-zero","Alberta","Interprovincial In-Flows",2011,9094.89
"Canada Net-zero","Alberta","Interprovincial In-Flows",2012,6585.95
"Canada Net-zero","Alberta","Interprovincial In-Flows",2013,4398.96
"Canada Net-zero","Alberta","Interprovincial In-Flows",2014,1368.56
"Canada Net-zero","Alberta","Interprovincial In-Flows",2015,1056.758
"Canada Net-zero","Alberta","Interprovincial In-Flows",2016,1298.568
"Canada Net-zero","Alberta","Interprovincial In-Flows",2017,1286.289
"Canada Net-zero","Alberta","Interprovincial In-Flows",2018,2274.671
"Canada Net-zero","Alberta","Interprovincial In-Flows",2019,909.5008
"Canada Net-zero","Alberta","Interprovincial In-Flows",2020,5483.165
"Canada Net-zero","Alberta","Interprovincial In-Flows",2021,4867.463
"Canada Net-zero","Alberta","Interprovincial In-Flows",2022,3365.95983117575
"Canada Net-zero","Alberta","Interprovincial In-Flows",2023,1481.27571337661
"Canada Net-zero","Alberta","Interprovincial In-Flows",2024,1901.27108938254
"Canada Net-zero","Alberta","Interprovincial In-Flows",2025,1659.40029835285
"Canada Net-zero","Alberta","Interprovincial In-Flows",2026,1451.76311656751
"Canada Net-zero","Alberta","Interprovincial In-Flows",2027,1428.35716080102
"Canada Net-zero","Alberta","Interprovincial In-Flows",2028,996.420033247341
"Canada Net-zero","Alberta","Interprovincial In-Flows",2029,857.279262877532
"Canada Net-zero","Alberta","Interprovincial In-Flows",2030,853.584431239327
"Canada Net-zero","Alberta","Interprovincial In-Flows",2031,1059.41075649208
"Canada Net-zero","Alberta","Interprovincial In-Flows",2032,1339.20156814893
"Canada Net-zero","Alberta","Interprovincial In-Flows",2033,1896.10380416785
"Canada Net-zero","Alberta","Interprovincial In-Flows",2034,2411.76427747993
"Canada Net-zero","Alberta","Interprovincial In-Flows",2035,7758.41971949159
"Canada Net-zero","Alberta","Interprovincial In-Flows",2036,7867.59651638737
"Canada Net-zero","Alberta","Interprovincial In-Flows",2037,7749.7018008306
"Canada Net-zero","Alberta","Interprovincial In-Flows",2038,7743.6321622997
"Canada Net-zero","Alberta","Interprovincial In-Flows",2039,7633.3961153096
"Canada Net-zero","Alberta","Interprovincial In-Flows",2040,7425.99458479458
"Canada Net-zero","Alberta","Interprovincial In-Flows",2041,7550.41235014903
"Canada Net-zero","Alberta","Interprovincial In-Flows",2042,7628.21411760057
"Canada Net-zero","Alberta","Interprovincial In-Flows",2043,7809.87317216296
"Canada Net-zero","Alberta","Interprovincial In-Flows",2044,8001.13922301079
"Canada Net-zero","Alberta","Interprovincial In-Flows",2045,8434.29221812708
"Canada Net-zero","Alberta","Interprovincial In-Flows",2046,8485.68722838444
"Canada Net-zero","Alberta","Interprovincial In-Flows",2047,8497.26533882179
"Canada Net-zero","Alberta","Interprovincial In-Flows",2048,8538.08509407782
"Canada Net-zero","Alberta","Interprovincial In-Flows",2049,8598.78012735389
"Canada Net-zero","Alberta","Interprovincial In-Flows",2050,8741.59276858762
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2005,953
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2006,421
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2007,1101
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2008,439
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2009,602
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2010,467
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2011,410
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2012,1678
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2013,1864
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2014,384.16
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2015,630.582
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2016,0
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2017,0
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2018,441.579
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2019,201.5676
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2020,918.003
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2021,1409.3
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2022,3405.7838682669
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2023,4879.2177516675
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2024,5591.43083740241
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2025,5577.13545329986
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2026,5850.76911582504
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2027,5866.81221572312
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2028,6653.70276257315
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2029,6838.52105648461
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2030,7103.88342406732
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2031,6337.21816101616
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2032,6121.64394482579
"Canada Net-zero","British Columbia","Interprovincial In-Flows",2033,5618.86913313633
