"","Scenario","Unit","Region","Variable","Year","Value"
"1","Canada Net-zero","Megatonnes","Alberta","Biomass",2010,0
"2","Canada Net-zero","Megatonnes","British Columbia","Biomass",2010,0
"3","Canada Net-zero","Megatonnes","Manitoba","Biomass",2010,0
"4","Canada Net-zero","Megatonnes","New Brunswick","Biomass",2010,0
"5","Canada Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2010,0
"6","Canada Net-zero","Megatonnes","Northwest Territories","Biomass",2010,0
"7","Canada Net-zero","Megatonnes","Nova Scotia","Biomass",2010,0
"8","Canada Net-zero","Megatonnes","Nunavut","Biomass",2010,0
"9","Canada Net-zero","Megatonnes","Ontario","Biomass",2010,0
"10","Canada Net-zero","Megatonnes","Prince Edward Island","Biomass",2010,0
"11","Canada Net-zero","Megatonnes","Quebec","Biomass",2010,0
"12","Canada Net-zero","Megatonnes","Saskatchewan","Biomass",2010,0
"13","Canada Net-zero","Megatonnes","Yukon","Biomass",2010,0
"14","Canada Net-zero","Megatonnes","Canada","Biomass",2010,0
"15","Current Measures","Megatonnes","Alberta","Biomass",2010,0
"16","Current Measures","Megatonnes","British Columbia","Biomass",2010,0
"17","Current Measures","Megatonnes","Manitoba","Biomass",2010,0
"18","Current Measures","Megatonnes","New Brunswick","Biomass",2010,0
"19","Current Measures","Megatonnes","Newfoundland and Labrador","Biomass",2010,0
"20","Current Measures","Megatonnes","Northwest Territories","Biomass",2010,0
"21","Current Measures","Megatonnes","Nova Scotia","Biomass",2010,0
"22","Current Measures","Megatonnes","Nunavut","Biomass",2010,0
"23","Current Measures","Megatonnes","Ontario","Biomass",2010,0
"24","Current Measures","Megatonnes","Prince Edward Island","Biomass",2010,0
"25","Current Measures","Megatonnes","Quebec","Biomass",2010,0
"26","Current Measures","Megatonnes","Saskatchewan","Biomass",2010,0
"27","Current Measures","Megatonnes","Yukon","Biomass",2010,0
"28","Current Measures","Megatonnes","Canada","Biomass",2010,0
"29","Global Net-zero","Megatonnes","Alberta","Biomass",2010,0
"30","Global Net-zero","Megatonnes","British Columbia","Biomass",2010,0
"31","Global Net-zero","Megatonnes","Manitoba","Biomass",2010,0
"32","Global Net-zero","Megatonnes","New Brunswick","Biomass",2010,0
"33","Global Net-zero","Megatonnes","Newfoundland and Labrador","Biomass",2010,0
"34","Global Net-zero","Megatonnes","Northwest Territories","Biomass",2010,0
"35","Global Net-zero","Megatonnes","Nova Scotia","Biomass",2010,0
"36","Global Net-zero","Megatonnes","Nunavut","Biomass",2010,0
"37","Global Net-zero","Megatonnes","Ontario","Biomass",2010,0
"38","Global Net-zero","Megatonnes","Prince Edward Island","Biomass",2010,0
"39","Global Net-zero","Megatonnes","Quebec","Biomass",2010,0
"40","Global Net-zero","Megatonnes","Saskatchewan","Biomass",2010,0
"41","Global Net-zero","Megatonnes","Yukon","Biomass",2010,0
"42","Global Net-zero","Megatonnes","Canada","Biomass",2010,0
"43","Canada Net-zero","Megatonnes","Alberta","Biomass",2011,0
"44","Canada Net-zero","Megatonnes","British Columbia","Biomass",2011,0
"45","Canada Net-zero","Megatonnes","Manitoba","Biomass",2011,0
