"Scenario","Region","Variable","Year","Value"
"Global Net-zero","Canada","Total",2005,12994.0354
"Global Net-zero","Canada","Total",2006,12988.6531
"Global Net-zero","Canada","Total",2007,13381.7698
"Global Net-zero","Canada","Total",2008,12998.4669
"Global Net-zero","Canada","Total",2009,12365.7046
"Global Net-zero","Canada","Total",2010,12774.6
"Global Net-zero","Canada","Total",2011,13205.1713
"Global Net-zero","Canada","Total",2012,13269.3538
"Global Net-zero","Canada","Total",2013,13537.0371
"Global Net-zero","Canada","Total",2014,13532.4898
"Global Net-zero","Canada","Total",2015,13716.1175
"Global Net-zero","Canada","Total",2016,13520.1904
"Global Net-zero","Canada","Total",2017,13761.0511
"Global Net-zero","Canada","Total",2018,14161.9592
"Global Net-zero","Canada","Total",2019,14043.0144
"Global Net-zero","Canada","Total",2020,12711.7482886157
"Global Net-zero","Canada","Total",2021,12901.023107864
"Global Net-zero","Canada","Total",2022,13419.575470518
"Global Net-zero","Canada","Total",2023,13464.1826646652
"Global Net-zero","Canada","Total",2024,13451.1227702648
"Global Net-zero","Canada","Total",2025,13217.3600118768
"Global Net-zero","Canada","Total",2026,13255.5093497202
"Global Net-zero","Canada","Total",2027,13269.7242846088
"Global Net-zero","Canada","Total",2028,13247.5081906489
"Global Net-zero","Canada","Total",2029,13234.5693051535
"Global Net-zero","Canada","Total",2030,13199.99193991
"Global Net-zero","Canada","Total",2031,13100.8053702254
"Global Net-zero","Canada","Total",2032,13057.9413115133
"Global Net-zero","Canada","Total",2033,12955.8314276052
"Global Net-zero","Canada","Total",2034,12849.9955872295
"Global Net-zero","Canada","Total",2035,12661.7980993093
"Global Net-zero","Canada","Total",2036,12564.4899279294
"Global Net-zero","Canada","Total",2037,12494.9792822445
"Global Net-zero","Canada","Total",2038,12448.5789599551
"Global Net-zero","Canada","Total",2039,12431.5690579913
"Global Net-zero","Canada","Total",2040,12445.5318855376
"Global Net-zero","Canada","Total",2041,12402.9420585842
"Global Net-zero","Canada","Total",2042,12348.1317133476
"Global Net-zero","Canada","Total",2043,12315.8350438535
"Global Net-zero","Canada","Total",2044,12316.3927055893
"Global Net-zero","Canada","Total",2045,12255.8839465708
"Global Net-zero","Canada","Total",2046,12235.6924774733
"Global Net-zero","Canada","Total",2047,12282.2556350545
"Global Net-zero","Canada","Total",2048,12350.5634858424
"Global Net-zero","Canada","Total",2049,12431.6478630847
"Global Net-zero","Canada","Total",2050,12519.2064830517
"Global Net-zero","Canada","Natural Gas",2005,3666.3138
"Global Net-zero","Canada","Natural Gas",2006,3670.3507
"Global Net-zero","Canada","Natural Gas",2007,3894.0904
"Global Net-zero","Canada","Natural Gas",2008,3914.5259
"Global Net-zero","Canada","Natural Gas",2009,3804.5918
"Global Net-zero","Canada","Natural Gas",2010,3945.5841
"Global Net-zero","Canada","Natural Gas",2011,4239.9723
"Global Net-zero","Canada","Natural Gas",2012,4328.1174
"Global Net-zero","Canada","Natural Gas",2013,4498.7447
"Global Net-zero","Canada","Natural Gas",2014,4569.9282
"Global Net-zero","Canada","Natural Gas",2015,4759.9022
"Global Net-zero","Canada","Natural Gas",2016,4607.2025
"Global Net-zero","Canada","Natural Gas",2017,4741.0188
"Global Net-zero","Canada","Natural Gas",2018,5084.5692
"Global Net-zero","Canada","Natural Gas",2019,4992.9081
"Global Net-zero","Canada","Natural Gas",2020,4779.85306135739
"Global Net-zero","Canada","Natural Gas",2021,4992.08946536373
"Global Net-zero","Canada","Natural Gas",2022,5144.02833108892
"Global Net-zero","Canada","Natural Gas",2023,5291.2331948
"Global Net-zero","Canada","Natural Gas",2024,5305.31476650135
"Global Net-zero","Canada","Natural Gas",2025,5160.76398920629
"Global Net-zero","Canada","Natural Gas",2026,5166.18188161375
"Global Net-zero","Canada","Natural Gas",2027,5164.08375138034
"Global Net-zero","Canada","Natural Gas",2028,5118.64815955051
"Global Net-zero","Canada","Natural Gas",2029,5087.97952850727
"Global Net-zero","Canada","Natural Gas",2030,5029.14560309676
"Global Net-zero","Canada","Natural Gas",2031,4774.97791490083
"Global Net-zero","Canada","Natural Gas",2032,4536.62182720943
"Global Net-zero","Canada","Natural Gas",2033,4290.26525771798
"Global Net-zero","Canada","Natural Gas",2034,4026.85440225389
"Global Net-zero","Canada","Natural Gas",2035,3798.25350824433
"Global Net-zero","Canada","Natural Gas",2036,3621.44444796009
"Global Net-zero","Canada","Natural Gas",2037,3468.29105204379
"Global Net-zero","Canada","Natural Gas",2038,3321.53746766107
"Global Net-zero","Canada","Natural Gas",2039,3192.75518167985
"Global Net-zero","Canada","Natural Gas",2040,3093.79643895983
"Global Net-zero","Canada","Natural Gas",2041,3005.12788335269
"Global Net-zero","Canada","Natural Gas",2042,2933.54628971532
"Global Net-zero","Canada","Natural Gas",2043,2858.5106405695
"Global Net-zero","Canada","Natural Gas",2044,2784.77674843058
"Global Net-zero","Canada","Natural Gas",2045,2695.85858688928
"Global Net-zero","Canada","Natural Gas",2046,2641.8785763071
"Global Net-zero","Canada","Natural Gas",2047,2635.36385312856
"Global Net-zero","Canada","Natural Gas",2048,2641.90045402367
"Global Net-zero","Canada","Natural Gas",2049,2651.8263629802
"Global Net-zero","Canada","Natural Gas",2050,2647.95581760145
"Global Net-zero","Canada","Refined Petroleum Products",2005,4805.2567
