x,y,yearbook_table_id,quantity,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code,country_iso3_code,erml_commodity,concat_figure_notes_text,year,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url
18.0,44.0,60,5,Production of graphite,652,tonnes (metric),Production,graphite,,Bosnia & Herzegovina,,,BA,Graphite,,BIH,Graphite,,2023-01-01 00:00:00,18.000000,,44.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
-49.028009999999995,-12.408957,60,66346,Production of graphite,652,tonnes (metric),Production,graphite,,Brazil,,,BR,Graphite,b,BRA,Graphite,Including beneficiated and directly shipped material.,2023-01-01 00:00:00,-49.028010,,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
-119.677633,59.205383999999995,60,5800,Production of graphite,652,tonnes (metric),Production,graphite,,Canada,,,CA,Graphite,,CAN,Graphite,,2023-01-01 00:00:00,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
9.669879,51.08851,60,136,Production of graphite,652,tonnes (metric),Production,graphite,,Germany,,,DE,Graphite,,DEU,Graphite,,2023-01-01 00:00:00,9.669879,,51.088510,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
79.282538,22.642556,60,128949,Production of graphite,652,tonnes (metric),Production,graphite,,India,,,IN,Graphite,a,IND,Graphite,Crude.,2023-01-01 00:00:00,79.282538,,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
46.863413,-18.771091,60,60000,Production of graphite,652,tonnes (metric),Production,graphite,,Madagascar,,,MG,Graphite,*|h,MDG,Graphite,Estimates.|Exports.,2023-01-01 00:00:00,46.863413,,-18.771091,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
33.526313,39.351717,60,27974,Production of graphite,652,tonnes (metric),Production,graphite,,Turkey,,,TR,Graphite,,TUR,Graphite,,2023-01-01 00:00:00,33.526313,,39.351717,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
31.971487999999997,49.685680999999995,60,2000,Production of graphite,652,tonnes (metric),Production,graphite,,Ukraine,,,UA,Graphite,*,UKR,Graphite,Estimates.,2023-01-01 00:00:00,31.971488,,49.685681,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
14.130671999999999,47.585656,60,17000,Production of graphite,652,tonnes (metric),Production,graphite,,Austria,,,AT,Graphite,*|a|j,AUT,Graphite,Estimates.|Crude.|Sales.,2023-01-01 00:00:00,14.130672,,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
109.537431,32.216659,60,1230000,Production of graphite,652,tonnes (metric),Production,graphite,,China,,,CN,Graphite,*|d,CHN,Graphite,Estimates.|Including flake graphite.,2023-01-01 00:00:00,109.537431,,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
2.452177,46.620563,60,42319,Production of graphite,652,tonnes (metric),Production,graphite,,France,,,FR,Graphite,,FRA,Graphite,,2023-01-01 00:00:00,2.452177,,46.620563,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
127.0,40.0,60,8100,Production of graphite,652,tonnes (metric),Production,graphite,,"Korea, Dem. P.R. of",,,KP,Graphite,*,PRK,Graphite,Estimates.,2023-01-01 00:00:00,127.000000,,40.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
-101.933344,23.629557,60,3124,Production of graphite,652,tonnes (metric),Production,graphite,,Mexico,,,MX,Graphite,,MEX,Graphite,,2023-01-01 00:00:00,-101.933344,,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
38.189454999999995,-13.567587,60,100000,Production of graphite,652,tonnes (metric),Production,graphite,,Mozambique,,,MZ,Graphite,*,MOZ,Graphite,Estimates.,2023-01-01 00:00:00,38.189455,,-13.567587,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
16.971256999999998,-20.703654,60,0,Production of graphite,652,tonnes (metric),Production,graphite,,Namibia,,,NA,Graphite,,NAM,Graphite,,2023-01-01 00:00:00,16.971257,,-20.703654,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
10.262436,61.687073999999996,60,7200,Production of graphite,652,tonnes (metric),Production,graphite,,Norway,,,NO,Graphite,*,NOR,Graphite,Estimates.,2023-01-01 00:00:00,10.262436,,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
94.13658799999999,63.462201,60,18800,Production of graphite,652,tonnes (metric),Production,graphite,,Russia,,,RU,Graphite,*,RUS,Graphite,Estimates.,2023-01-01 00:00:00,94.136588,,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
80.793549,7.020493,60,4000,Production of graphite,652,tonnes (metric),Production,graphite,,Sri Lanka,,,LK,Graphite,*,LKA,Graphite,Estimates.,2023-01-01 00:00:00,80.793549,,7.020493,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite
