x,y,yearbook_table_id,quantity,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code,country_iso3_code,erml_commodity,concat_figure_notes_text,year,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url
20.154355,40.519335999999996,102,600,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Albania,,,AL,Nickel,,ALB,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,20.154355,Ores and concentates (metal content),40.519336,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
132.72135600000001,-23.137734,102,149090,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Australia,,,AU,Nickel,,AUS,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,132.721356,Ores and concentates (metal content),-23.137734,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-49.028009999999995,-12.408957,103,57000,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Brazil,,,BR,Nickel,,BRA,"Nickel, smelter/refinery",,2023-01-01 00:00:00,-49.028010,,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-49.028009999999995,-12.408957,102,72398,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Brazil,,,BR,Nickel,,BRA,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,-49.028010,Ores and concentates (metal content),-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-119.677633,59.205383999999995,102,158668,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Canada,,,CA,Nickel,,CAN,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,-119.677633,Ores and concentates (metal content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
109.537431,32.216659,103,970000,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,China,,,CN,Nickel,*,CHN,"Nickel, smelter/refinery",Estimates.,2023-01-01 00:00:00,109.537431,,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-73.327862,3.734623,103,38708,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Colombia,,,CO,Nickel,,COL,"Nickel, smelter/refinery",,2023-01-01 00:00:00,-73.327862,,3.734623,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-73.327862,3.734623,102,42400,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Colombia,,,CO,Nickel,,COL,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,-73.327862,Ores and concentates (metal content),3.734623,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-80.718912,22.366246999999998,102,37900,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Cuba,,,CU,Nickel,*,CUB,"Nickel (mine production, metal content)",Estimates.,2023-01-01 00:00:00,-80.718912,Ores and concentates (metal content),22.366247,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
27.679723,63.018750999999995,103,90852,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Finland,,,FI,Nickel,g,FIN,"Nickel, smelter/refinery",This figure may include nickel content of matte and/or nickel content of nickel pig iron,2023-01-01 00:00:00,27.679723,,63.018751,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
27.679723,63.018750999999995,102,41941,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Finland,,,FI,Nickel,k,FIN,"Nickel (mine production, metal content)",In addition some nickel is produced as a by-product of a talc operation. The amount is negligible.,2023-01-01 00:00:00,27.679723,Ores and concentates (metal content),63.018751,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
114.218582,-0.9663149999999999,103,1410000,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Indonesia,,,ID,Nickel,g,IDN,"Nickel, smelter/refinery",This figure may include nickel content of matte and/or nickel content of nickel pig iron,2023-01-01 00:00:00,114.218582,,-0.966315,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
142.796275,43.46076,103,111800,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Japan,,,JP,Nickel,,JPN,"Nickel, smelter/refinery",,2023-01-01 00:00:00,142.796275,,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
128.0,36.0,103,46500,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Korea (Rep. of),,,KR,Nickel,,KOR,"Nickel, smelter/refinery",,2023-01-01 00:00:00,128.000000,,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
20.873742999999997,42.572883,103,500,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Kosovo,,,XK,Nickel,*,1A0,"Nickel, smelter/refinery",Estimates.,2023-01-01 00:00:00,20.873743,,42.572883,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
46.863413,-18.771091,102,38900,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Madagascar,,,MG,Nickel,*,MDG,"Nickel (mine production, metal content)",Estimates.,2023-01-01 00:00:00,46.863413,Ores and concentates (metal content),-18.771091,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-6.587161,31.846552,102,0,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Morocco,,,MA,Nickel,*,MAR,"Nickel (mine production, metal content)",Estimates.,2023-01-01 00:00:00,-6.587161,Ores and concentates (metal content),31.846552,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
-6.587161,31.846552,103,0,Smelter/refinery production of nickel,20299,tonnes (metric),Production,"nickel, smelter/refinery",,Morocco,Sulfate,,MA,,*,MAR,,Estimates.,2023-01-01 00:00:00,-6.587161,,31.846552,
96.111983,21.798486,103,8000,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,Myanmar,,,MM,Nickel,*|f,MMR,"Nickel, smelter/refinery",Estimates.|Years ending 31 March following that stated.,2023-01-01 00:00:00,96.111983,,21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
96.111983,21.798486,102,8000,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Myanmar,,,MM,Nickel,*|l,MMR,"Nickel (mine production, metal content)",Estimates.|Years ending 30 September of that stated.,2023-01-01 00:00:00,96.111983,Ores and concentates (metal content),21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
164.564138,-20.661227999999998,103,71912,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,New Caledonia,,,NC,Nickel,,NCL,"Nickel, smelter/refinery",,2023-01-01 00:00:00,164.564138,,-20.661228,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
21.7,41.6,103,3800,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,North Macedonia,,,MK,Nickel,,MKD,"Nickel, smelter/refinery",,2023-01-01 00:00:00,21.700000,,41.600000,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
143.89105,-5.631615,102,33604,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Papua New Guinea,,,PG,Nickel,,PNG,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,143.891050,Ores and concentates (metal content),-5.631615,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
121.417908,17.522436,102,387000,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Philippines,,,PH,Nickel,*,PHL,"Nickel (mine production, metal content)",Estimates.,2023-01-01 00:00:00,121.417908,Ores and concentates (metal content),17.522436,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
160.170302,-9.622608999999999,102,1050,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Solomon Islands,,,SB,Nickel,,SLB,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,160.170302,Ores and concentates (metal content),-9.622609,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
23.214465999999998,-30.457874999999998,103,39600,Smelter/refinery production of nickel,907,tonnes (metric),Production,"nickel, smelter/refinery",,South Africa,,,ZA,Nickel,*,ZAF,"Nickel, smelter/refinery",Estimates.,2023-01-01 00:00:00,23.214466,,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
23.214465999999998,-30.457874999999998,102,29750,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,South Africa,,,ZA,Nickel,,ZAF,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,23.214466,Ores and concentates (metal content),-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
33.526313,39.351717,102,18388,Mine production of nickel,19951,tonnes (metal content),Production,"nickel, mine",,Turkey,,,TR,Nickel,,TUR,"Nickel (mine production, metal content)",,2023-01-01 00:00:00,33.526313,Ores and concentates (metal content),39.351717,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel
