x,y,country_iso2_code,erml_group,concat_figure_notes_code,country_iso3_code,erml_commodity,concat_figure_notes_text,year,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,country_trans,bgs_sub_commodity_trans,concat_table_notes_text
132.72135600000001,-23.137734,AU,Rare earths,d,AUS,Rare earth oxides,Years ending 30 June of that stated.,2023-01-01 00:00:00,132.721356,,-23.137734,http://resource.geosciml.org/classifier/cgi/commodity-code/rare-earth-oxide,736,16780,Production of rare earth oxides,20238,tonnes (metric),Production,rare earth oxides,,Australia,,
109.537431,32.216659,CN,Rare earths,*|b,CHN,Rare earth oxides,"Estimates.|Includes production from iron ore extraction, bastnasite concentrates and ion absorption clays.",2023-01-01 00:00:00,109.537431,,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/rare-earth-oxide,736,240000,Production of rare earth oxides,20238,tonnes (metric),Production,rare earth oxides,,China,,
79.282538,22.642556,IN,Rare earths,*|a,IND,Rare earth oxides,Estimates.|Years ending 31 March following that stated.,2023-01-01 00:00:00,79.282538,,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/rare-earth-oxide,736,4200,Production of rare earth oxides,20238,tonnes (metric),Production,rare earth oxides,,India,,
46.863413,-18.771091,MG,Rare earths,*,MDG,Rare earth oxides,Estimates.,2023-01-01 00:00:00,46.863413,,-18.771091,http://resource.geosciml.org/classifier/cgi/commodity-code/rare-earth-oxide,736,960,Production of rare earth oxides,20238,tonnes (metric),Production,rare earth oxides,,Madagascar,,
-97.834383,39.139831,US,Rare earths,*,USA,Rare earth oxides,Estimates.,2023-01-01 00:00:00,-97.834383,,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/rare-earth-oxide,736,25800,Production of rare earth oxides,20238,tonnes (metric),Production,rare earth oxides,,USA,,
105.335928,21.894282,VN,Rare earths,*,VNM,Rare earth oxides,Estimates.,2023-01-01 00:00:00,105.335928,,21.894282,http://resource.geosciml.org/classifier/cgi/commodity-code/rare-earth-oxide,736,600,Production of rare earth oxides,20238,tonnes (metric),Production,rare earth oxides,,Vietnam,,
102.186548,4.029745,MY,Rare earths,,MYS,Rare earth oxides,,2023-01-01 00:00:00,102.186548,,4.029745,http://resource.geosciml.org/classifier/cgi/commodity-code/rare-earth-oxide,736,134,Production of rare earth oxides,20238,tonnes (metric),Production,rare earth oxides,,Malaysia,,
96.111983,21.798486,MM,Rare earths,*,MMR,Rare earth oxides,Estimates.,2023-01-01 00:00:00,96.111983,,21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/rare-earth-oxide,736,72000,Production of rare earth oxides,20238,tonnes (metric),Production,rare earth oxides,,Myanmar,,
94.13658799999999,63.462201,RU,Rare earths,,RUS,Rare earth oxides,,2023-01-01 00:00:00,94.136588,,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/rare-earth-oxide,736,1964,Production of rare earth oxides,20238,tonnes (metric),Production,rare earth oxides,,Russia,,
29.875082,-3.3574249999999997,BI,Rare earths,,BDI,Rare earth oxides,,2023-01-01 00:00:00,29.875082,,-3.357425,http://resource.geosciml.org/classifier/cgi/commodity-code/rare-earth-oxide,736,0,Production of rare earth oxides,20238,tonnes (metric),Production,rare earth oxides,,Burundi,,
