Technology,Sub-technology,Metal,Metal intensity,Unit,Reference,Fiability of the data,Comment
Biomass,Aggregated,Aluminum,3900.0,t/GW,"(Ashby, 2013)",Small variability in data,
Biomass,Aggregated,Aluminum,1300.0,t/GW,"(Sullivan et al., 2010)",Small variability in data,
Biomass,Aggregated,Aluminum,271.2,t/GW,"(Van Oorschot et al., 2022), (Bauer 2007, Moss et al 2011)",Variability in data,
Biomass,Wood energy,Aluminum,184.0,t/GW,Open LCA Analysis 'Wood energy',Important variability in data,
Biomass,Aggregated,Chromium,2.0,t/GW,"(Ashby, 2013)",Variability in data,
Biomass,Wood energy,Chromium,269.0,t/GW,Open LCA Analysis 'Wood energy',Variability in data,
Biomass,Aggregated,Cobalt,2.0,t/GW,"(Ashby, 2013)",Variability in data,
Biomass,Wood energy,Cobalt,0.07,t/GW,Open LCA Analysis 'Wood energy',Variability in data,
Biomass,Aggregated,Concrete,159000.0,t/GW,"(Sullivan et al., 2010)",No comparison,
Biomass,Aggregated,Copper,2270.0,t/GW,"(Ashby, 2013)",Small variability in data,
Biomass,Aggregated,Copper,2175.0,t/GW,"(Lea A., Copper Association, 2016)",Small variability in data,
Biomass,Aggregated,Copper,33.9,t/GW,"(Van Oorschot et al., 2022), (Bauer 2007, Moss et al 2011)",Important variability in data,
Biomass,Wood energy,Copper,333.0,t/GW,Open LCA Analysis 'Wood energy',Important variability in data,
Biomass,Aggregated,Iron,52000.0,t/GW,"(Sullivan et al., 2010)",Small variability in data,
Biomass,Aggregated,Iron,33594.899999999994,t/GW,"(Van Oorschot et al., 2022), (Bauer 2007, Moss et al 2011)",Small variability in data,
Biomass,Aggregated,Iron,135047.0,t/GW,"(Watari et al. 2019), (Ashby, 2013)",Variability in data,
Biomass,Wood energy,Iron,45152.0,t/GW,Open LCA Analysis 'Wood energy',Small variability in data,
Biomass,Aggregated,Lead,104.0,t/GW,"(Ashby, 2013)",Variability in data,
Biomass,Wood energy,Lead,4.0,t/GW,Open LCA Analysis 'Wood energy',Important variability in data,
Biomass,Wood energy,Manganese,544.0,t/GW,Open LCA Analysis 'Wood energy',Important variability in data,
Biomass,Aggregated,Nickel,20.0,t/GW,"(Ashby, 2013)",Important variability in data,
Biomass,Wood energy,Nickel,1597.0,t/GW,Open LCA Analysis 'Wood energy',Important variability in data,
Biomass,Aggregated,Zinc,160.0,t/GW,"(Ashby, 2013)",Variability in data,
Biomass,Wood energy,Zinc,18.0,t/GW,Open LCA Analysis 'Wood energy',Important variability in data,
Fossil energy,Coal,Chromium,307.5,t/GW,"(IEA, 2022)",No comparison,
Fossil energy,Natural gas,Chromium,48.34,t/GW,"(IEA, 2022)",Small variability in data,
Fossil energy,Coal,Cobalt,201.46,t/GW,"(IEA, 2022)",No comparison,
Fossil energy,Natural gas,Cobalt,1.8,t/GW,"(IEA, 2022)",No comparison,
Fossil energy,Coal,Copper,1150.0,t/GW,"(IEA, 2022)",Small variability in data,
Fossil energy,Natural gas,Copper,1100.0,t/GW,"(IEA, 2022)",Small variability in data,
Fossil energy,Coal,Manganese,4.63,t/GW,"(IEA, 2022)",No comparison,
Fossil energy,Coal,Nickel,721.04,t/GW,"(IEA, 2022)",No comparison,
Fossil energy,Natural gas,Nickel,15.75,t/GW,"(IEA, 2022)",Small variability in data,
Fossil energy,Coal,Copper,890.0,t/GW,"(Lea A., Copper Association, 2016)",Small variability in data,
Fossil energy,Hydrogen ,Copper,1110.0,t/GW,"(Lea A., Copper Association, 2016)",Small variability in data,
Fossil energy,Natural gas,Copper,1110.0,t/GW,"(Lea A., Copper Association, 2016)",Small variability in data,
Fossil energy,Oil,Copper,1100.0,t/GW,"(Lea A., Copper Association, 2016)",Small variability in data,
Fossil energy,Coal,Aluminum,1033.5,t/GW,"(Van Oorschot et al., 2022)",Variability in data,
Fossil energy,Hydrogen ,Aluminum,922.1999999999998,t/GW,"(Van Oorschot et al., 2022)",Small variability in data,
Fossil energy,Coal,Copper,1510.4999999999998,t/GW,"(Van Oorschot et al., 2022)",Small variability in data,
Fossil energy,Hydrogen ,Copper,922.1999999999998,t/GW,"(Van Oorschot et al., 2022)",Small variability in data,
Fossil energy,Coal,Iron,75386.9403,t/GW,"(Van Oorschot et al., 2022)",Small variability in data,Calculated from steel
Fossil energy,Hydrogen ,Iron,15205.68252,t/GW,"(Van Oorschot et al., 2022)",No comparison,Calculated from steel
Fossil energy,Aggregated,Aluminum,500.0,t/GW,(Watari et al. 2019),Variability in data,"Oil, coal, natural gas"
Fossil energy,Aggregated,Copper,90.0,t/GW,(Watari et al. 2019),Important variability in data,"Oil, coal, natural gas"
Fossil energy,Aggregated,Iron,51376.5,t/GW,(Watari et al. 2019),Small variability in data,"Oil, coal, natural gas ; Calculated from steel"
Fossil energy,Natural gas,Aluminum,527.0,t/GW,Open LCA Analysis,Small variability in data,
Fossil energy,Oil,Aluminum,517.6,t/GW,Open LCA Analysis,No comparison,
Fossil energy,Natural gas,Chromium,57.0,t/GW,Open LCA Analysis,Small variability in data,
Fossil energy,Oil,Chromium,904.0,t/GW,Open LCA Analysis,No comparison,
Fossil energy,Natural gas,Copper,684.0,t/GW,Open LCA Analysis,Small variability in data,
Fossil energy,Oil,Copper,1513.0,t/GW,Open LCA Analysis,Small variability in data,
Fossil energy,Natural gas,Iron,6341.0,t/GW,Open LCA Analysis,No comparison,
Fossil energy,Oil,Iron,78791.0,t/GW,Open LCA Analysis,No comparison,
Fossil energy,Natural gas,Lead,5.0,t/GW,Open LCA Analysis,No comparison,
Fossil energy,Oil,Lead,9.0,t/GW,Open LCA Analysis,No comparison,
Fossil energy,Natural gas,Magnesium,2.0,t/GW,Open LCA Analysis,No comparison,
Fossil energy,Natural gas,Manganese,27.0,t/GW,Open LCA Analysis,No comparison,
Fossil energy,Oil,Manganese,359.0,t/GW,Open LCA Analysis,No comparison,
Fossil energy,Natural gas,Nickel,49.0,t/GW,Open LCA Analysis,Small variability in data,
Fossil energy,Oil,Nickel,676.0,t/GW,Open LCA Analysis,No comparison,
Fossil energy,Natural gas,Zinc,20.0,t/GW,Open LCA Analysis,No comparison,
Fossil energy,Oil,Zinc,40.0,t/GW,Open LCA Analysis,No comparison,
Geothermal,Aggregated,Copper,2335.0,t/GW,"(Ashby, 2013)",Small variability in data,
Geothermal,Aggregated,Iron,579526.92,t/GW,"(Ashby, 2013)",Small variability in data,
Geothermal,Aggregated,Iron,579526.92,t/GW,"(Ashby, 2013)",Small variability in data,Calculated from steel
Geothermal,Aggregated,Aluminum,2386.0,t/GW,"(Karlsdóttir et al., 2015)",Variability in data,
Geothermal,Aggregated,Copper,597.0,t/GW,"(Karlsdóttir et al., 2015)",Variability in data,
Geothermal,Aggregated,Iron,133513.33380000002,t/GW,"(Karlsdóttir et al., 2015)",Small variability in data,
Geothermal,Aggregated,Iron,133513.33380000002,t/GW,"(Karlsdóttir et al., 2015)",Small variability in data,Calculated from steel
Geothermal,Aggregated,Polymers,732.0,t/GW,"(Karlsdóttir et al., 2015)",No comparison,
Geothermal,Aggregated,Copper,2175.0,t/GW,"(Lea A., Copper Association, 2016)",Small variability in data,
Geothermal,Aggregated,Chromium,64405.0,t/GW,(Moss et al. 2011),Small variability in data,
Geothermal,Aggregated,Copper,3605.0,t/GW,(Moss et al. 2011),Small variability in data,
Geothermal,Aggregated,Iron,800494.8,t/GW,(Moss et al. 2011),Small variability in data,
Geothermal,Aggregated,Iron,800494.8,t/GW,(Moss et al. 2011),Small variability in data,Calculated from steel
Geothermal,Aggregated,Manganese,4325.0,t/GW,(Moss et al. 2011),Small variability in data,
Geothermal,Aggregated,Molybdenum,7209.0,t/GW,(Moss et al. 2011),No comparison,
Geothermal,Aggregated,Nickel,120155.0,t/GW,(Moss et al. 2011),Variability in data,
Geothermal,Aggregated,Niobium,128.0,t/GW,(Moss et al. 2011),No comparison,
Geothermal,Aggregated,Tantalum,64.0,t/GW,(Moss et al. 2011),No comparison,
Geothermal,Aggregated,Aluminum,46100.0,t/GW,"(Sullivan et al., 2010)",Important variability in data,
Geothermal,Aggregated,Concrete,459000.0,t/GW,"(Sullivan et al., 2010)",No comparison,
Geothermal,Aggregated,Iron,348381.6,t/GW,"(Sullivan et al., 2010)",Small variability in data,
Geothermal,Aggregated,Iron,348381.6,t/GW,"(Sullivan et al., 2010)",Small variability in data,Calculated from steel
Geothermal,Aggregated,Aluminum,4922.0,t/GW,Open LCA Analysis,Variability in data,
Geothermal,Aggregated,Chromium,13663.0,t/GW,Open LCA Analysis,Small variability in data,
Geothermal,Aggregated,Copper,6520.0,t/GW,Open LCA Analysis,Small variability in data,
Geothermal,Aggregated,Iron,2097520.0,t/GW,Open LCA Analysis,Variability in data,
Geothermal,Aggregated,Lead,416.0,t/GW,Open LCA Analysis,No comparison,
Geothermal,Aggregated,Magnesium,208.0,t/GW,Open LCA Analysis,No comparison,
Geothermal,Aggregated,Manganese,9455.0,t/GW,Open LCA Analysis,Small variability in data,
Geothermal,Aggregated,Nickel,12023.0,t/GW,Open LCA Analysis,Variability in data,
Geothermal,Aggregated,Tantalum,0.1,t/GW,Open LCA Analysis,Variability in data,
Geothermal,Aggregated,Zinc,1917.0,t/GW,Open LCA Analysis,No comparison,
Hydroelectricity,Aggregated,Aluminum,3400.0,t/GW,"(Ashby, 2013)",Small variability in data,
Hydroelectricity,Aggregated,Aluminum,1635.0,t/GW,Open LCA Analysis,Small variability in data,
Hydroelectricity,Aggregated,Chromium,1500.0,t/GW,"(Ashby, 2013)",Variability in data,
Hydroelectricity,Aggregated,Chromium,12395.0,t/GW,Open LCA Analysis,Variability in data,
Hydroelectricity,Aggregated,Copper,1050.0,t/GW,"(Ashby, 2013)",Small variability in data,
Hydroelectricity,Large-scale reservoir,Copper,1713.0,t/GW,"(Dong et al., 2025)",Small variability in data,
Hydroelectricity,Aggregated,Copper,3160.0,t/GW,"(Lea A., Copper Association, 2016)",Small variability in data,
Hydroelectricity,Aggregated,Copper,6735.0,t/GW,Open LCA Analysis,Small variability in data,
Hydroelectricity,Aggregated,Iron,175000.0,t/GW,"(Ashby, 2013)",Small variability in data,
Hydroelectricity,Aggregated,Iron,338665.0,t/GW,Open LCA Analysis,Small variability in data,
Hydroelectricity,Aggregated,Lead,300.0,t/GW,"(Ashby, 2013)",Variability in data,
Hydroelectricity,Aggregated,Lead,59.0,t/GW,Open LCA Analysis,Variability in data,
Hydroelectricity,Aggregated,Magnesium,100.0,t/GW,"(Ashby, 2013)",Variability in data,
Hydroelectricity,Aggregated,Magnesium,37.0,t/GW,Open LCA Analysis,Variability in data,
Hydroelectricity,Aggregated,Manganese,200.0,t/GW,"(Ashby, 2013)",Variability in data,
Hydroelectricity,Aggregated,Manganese,3393.0,t/GW,Open LCA Analysis,Important variability in data,
Hydroelectricity,Aggregated,Molybdenum,250.0,t/GW,"(Ashby, 2013)",Small variability in data,
Hydroelectricity,Large-scale reservoir,Molybdenum,330.0,t/GW,"(Dong et al., 2025)",Small variability in data,
Hydroelectricity,Aggregated,Nickel,7587.0,t/GW,Open LCA Analysis,Variability in data,
Hydroelectricity,Aggregated,Zinc,400.0,t/GW,"(Ashby, 2013)",Small variability in data,
Hydroelectricity,Aggregated,Zinc,253.0,t/GW,Open LCA Analysis,Small variability in data,
Nuclear,Nuclear aggregated,Aluminum,61104.4,t/GW,"(Dones, R. et al. 2007)",Important variability in data,
Nuclear,Boiling water power plant,Aluminum,577.0,t/GW,Open LCA Analysis,Important variability in data,
Nuclear,PWR,Aluminum,542.0,t/GW,Open LCA Analysis,Important variability in data,
