Scenario,Year,Unit,Cobalt,Copper,Graphite,Lithium,Neodymium,Nickel
Existing production,2020,kt,3.2,530.9,8.2,0.0,0.0,154.4
Existing production,2021,kt,3.8,488.5,4.2,0.2,0.0,138.9
Existing production,2022,kt,2.5,460.4,13.6,3.5,0.0,126.6
Existing production,2023,kt,4.8,404.0,4.2,16.7,0.0,186.8
Existing production,2024,kt,3.4,478.9,6.3,39.9,0.0,134.6
Existing production,2025,kt,3.5,483.9,0.0,37.6,0.0,154.6
Existing production,2026,kt,3.5,475.6,0.0,40.0,0.0,158.5
Existing production,2027,kt,4.2,495.0,0.0,41.7,0.0,158.5
Existing production,2028,kt,4.2,461.1,0.0,40.3,0.0,154.8
Existing production,2029,kt,3.9,348.3,0.0,37.9,0.0,152.1
Existing production,2030,kt,3.9,331.7,0.0,39.0,0.0,150.2
Existing production,2031,kt,3.7,311.1,0.0,38.2,0.0,139.3
Existing production,2032,kt,3.4,309.5,0.0,40.6,0.0,139.3
Existing production,2033,kt,3.1,276.9,0.0,37.8,0.0,120.3
Existing production,2034,kt,3.1,265.8,0.0,39.8,0.0,118.0
Existing production,2035,kt,3.1,268.9,0.0,40.5,0.0,118.0
Existing production,2036,kt,2.8,260.9,0.0,37.2,0.0,116.7
Existing production,2037,kt,0.9,216.7,0.0,39.3,0.0,82.7
Existing production,2038,kt,0.3,149.6,0.0,42.6,0.0,40.8
Existing production,2039,kt,0.3,174.1,0.0,41.0,0.0,37.0
Existing production,2040,kt,0.3,183.0,0.0,42.8,0.0,37.0
Production potential,2020,kt,6.5,1100.0,0.0,0.0,0.0,308.8
Production potential,2021,kt,7.6,1000.0,0.0,0.4,0.0,277.7
Production potential,2022,kt,5.1,900.0,0.0,7.0,0.0,253.2
Production potential,2023,kt,9.6,900.0,100.0,33.5,0.0,373.6
Production potential,2024,kt,6.8,1000.0,100.0,80.7,0.0,273.0
Production potential,2025,kt,7.3,1000.0,100.0,122.4,0.0,309.2
Production potential,2026,kt,8.0,1000.0,100.0,184.3,0.0,367.5
Production potential,2027,kt,9.5,1100.0,100.0,196.4,0.0,374.4
Production potential,2028,kt,11.4,1100.0,100.0,202.9,0.0,364.8
Production potential,2029,kt,10.6,1000.0,100.0,190.7,0.0,342.8
Production potential,2030,kt,11.6,1000.0,100.0,185.5,0.0,343.3
Production potential,2031,kt,12.6,1000.0,100.0,183.1,0.0,332.1
Production potential,2032,kt,13.6,1100.0,100.0,187.9,0.0,336.9
Production potential,2033,kt,14.8,1100.0,100.0,174.9,0.0,326.9
Production potential,2034,kt,16.6,1100.0,100.0,182.6,0.1,334.0
Production potential,2035,kt,18.6,1100.0,200.0,186.6,0.1,343.8
Production potential,2036,kt,20.6,1200.0,200.0,232.0,0.1,352.8
Production potential,2037,kt,21.4,1200.0,200.0,299.0,0.2,329.5
Production potential,2038,kt,23.8,1200.0,300.0,388.9,0.2,298.9
Production potential,2039,kt,27.3,1200.0,300.0,502.6,0.3,306.8
Production potential,2040,kt,31.3,1300.0,400.0,658.3,0.4,319.1
