Country,Scenario,Year,Technology,Mode,Powertrain,Metal,Metal_demand_t
Canada,Current Measures,2024,Vehicle battery,2 and 3 wheelers,BEV,Aluminum,0.023664039894334216
Canada,Current Measures,2024,Vehicle battery,2 and 3 wheelers,BEV,Cobalt,0.7837937962471425
Canada,Current Measures,2024,Vehicle battery,2 and 3 wheelers,BEV,Copper,0.25154466557419214
Canada,Current Measures,2024,Vehicle battery,2 and 3 wheelers,BEV,Lithium,0.06554209720510158
Canada,Current Measures,2024,Vehicle battery,2 and 3 wheelers,BEV,Manganese,0.7611499018784831
Canada,Current Measures,2024,Vehicle battery,2 and 3 wheelers,BEV,Nickel,0.0714
Canada,Current Measures,2024,Vehicle battery,Buses,BEV,Cobalt,13.61158510772057
Canada,Current Measures,2024,Vehicle battery,Buses,BEV,Copper,19.97560851705846
Canada,Current Measures,2024,Vehicle battery,Buses,BEV,Lithium,23.553297845589395
Canada,Current Measures,2024,Vehicle battery,Buses,BEV,Manganese,9.987804258529223
Canada,Current Measures,2024,Vehicle battery,Buses,BEV,Nickel,35.51219715259817
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Aluminum,57.30409660686816
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Cobalt,1898.0104673827864
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Copper,609.1326705571123
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Lithium,158.7146863692166
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Manganese,1843.176723176327
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Nickel,172.9
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Cobalt,61.75
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Copper,54.38684469630227
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Lithium,43.96081833542767
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Manganese,157.7218819845018
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Cobalt,535.6623322819055
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Copper,1737.0199981763792
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Graphite,233.71265412211625
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Lithium,641.0884999999998
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Manganese,212.81089223231095
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Nickel,2834.6467760830483
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Cobalt,1414.200481310873
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Copper,2075.402310292161
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Lithium,2447.1128737826252
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Manganese,1037.7011551460798
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Nickel,3689.6045470211325
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Manganese,411.1646086427881
Canada,Current Measures,2024,Vehicle battery,Cars,BEV,Nickel,248.00414924285693
Canada,Current Measures,2024,Vehicle battery,Trucks,BEV,Cobalt,151.23983453022856
Canada,Current Measures,2024,Vehicle battery,Trucks,BEV,Copper,221.951205745094
Canada,Current Measures,2024,Vehicle battery,Trucks,BEV,Lithium,261.7033093954377
Canada,Current Measures,2024,Vehicle battery,Trucks,BEV,Manganese,110.97560287254693
Canada,Current Measures,2024,Vehicle battery,Trucks,BEV,Nickel,394.57996836220195
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Aluminum,3.8280064534952407
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Cobalt,126.79017292233186
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Copper,40.69104884288403
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Lithium,10.602398077295845
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Manganese,123.12719000975463
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Nickel,11.55
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Cobalt,4.125
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Copper,3.6331293015748485
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Lithium,2.9366538564152083
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Manganese,10.53607713661652
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Cobalt,35.783111265795306
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Copper,116.03574886603342
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Graphite,15.612383777388333
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Lithium,42.82574999999999
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Manganese,14.216112234142228
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Nickel,189.3589951634425
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Cobalt,94.47088235477493
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Copper,138.64023530291766
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Lithium,163.47110290450738
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Manganese,69.32011765145877
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Nickel,246.47155880910395
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Manganese,27.46646171095548
Canada,Current Measures,2024,Vehicle battery,Vans,BEV,Nickel,16.567078795575462
Canada,Current Measures,2024,Vehicle battery,Buses,FCEV,Cobalt,0.09830589244464857
Canada,Current Measures,2024,Vehicle battery,Buses,FCEV,Copper,0.1442682837343111
Canada,Current Measures,2024,Vehicle battery,Buses,FCEV,Lithium,0.17010715110703453
Canada,Current Measures,2024,Vehicle battery,Buses,FCEV,Manganese,0.0721341418671555
Canada,Current Measures,2024,Vehicle battery,Buses,FCEV,Nickel,0.25647697943543124
Canada,Current Measures,2024,Vehicle battery,Cars,FCEV,Aluminum,0.00016240027378464658
