Country,Mode,Battery_type,Powertrain,Year,EV_sales,Mass_vehicule,Scenario,Installed_battery_cap,Metal,Metal intensity (g/kWh),Metal_demand_t,Fiability_used,Comment
Canada,2 and 3 wheelers,LFP,BEV,2024,170.0,0.09808569078889517,Current Measures,510.0,Aluminum,46.40007822418474,0.023664039894334216,No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Canada,2 and 3 wheelers,LFP,BEV,2024,170.0,0.09808569078889517,Current Measures,510.0,Cobalt,1536.85058087675,0.7837937962471425,Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,2 and 3 wheelers,LFP,BEV,2024,170.0,0.09808569078889517,Current Measures,510.0,Copper,493.2248344592003,0.25154466557419214,Variability in data,(Gr-LFP)
Canada,2 and 3 wheelers,LFP,BEV,2024,170.0,0.09808569078889517,Current Measures,510.0,Lithium,128.51391608843448,0.06554209720510158,Small variability in data,mean of Small variability in data
Canada,2 and 3 wheelers,LFP,BEV,2024,170.0,0.09808569078889517,Current Measures,510.0,Manganese,1492.4507879970258,0.7611499018784831,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,2 and 3 wheelers,LFP,BEV,2024,170.0,0.09808569078889517,Current Measures,510.0,Nickel,140.0,0.0714,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Buses,NMC,BEV,2024,210.0,5.6752374182090595,Current Measures,63000.0,Cobalt,216.0569064717551,13.61158510772057,Small variability in data,mean of Small variability in data
Canada,Buses,NMC,BEV,2024,210.0,5.6752374182090595,Current Measures,63000.0,Copper,317.07315106442,19.97560851705846,No comparison,(Gr-NMC)
Canada,Buses,NMC,BEV,2024,210.0,5.6752374182090595,Current Measures,63000.0,Lithium,373.86187056491104,23.553297845589395,Variability in data,mean of Variability in data
Canada,Buses,NMC,BEV,2024,210.0,5.6752374182090595,Current Measures,63000.0,Manganese,158.5365755322099,9.987804258529223,No comparison,(Gr-NMC)
Canada,Buses,NMC,BEV,2024,210.0,5.6752374182090595,Current Measures,63000.0,Nickel,563.6856690888599,35.51219715259817,No comparison,(Gr-NMC)
Canada,Cars,LFP,BEV,2024,190000.0,1.0,Current Measures,5126361.5,Aluminum,46.40007822418474,237.86357460544903,No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,BEV,2024,190000.0,1.0,Current Measures,5126361.5,Cobalt,1536.85058087675,7878.451649059207,Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,BEV,2024,190000.0,1.0,Current Measures,5126361.5,Copper,493.2248344592003,2528.4488022155174,Variability in data,(Gr-LFP)
Canada,Cars,LFP,BEV,2024,190000.0,1.0,Current Measures,5126361.5,Lithium,128.51391608843448,658.8087916499811,Small variability in data,mean of Small variability in data
Canada,Cars,LFP,BEV,2024,190000.0,1.0,Current Measures,5126361.5,Manganese,1492.4507879970258,7650.842260232615,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,BEV,2024,190000.0,1.0,Current Measures,5126361.5,Nickel,140.0,717.69061,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LMO,BEV,2024,190000.0,1.0,Current Measures,0.0,Cobalt,500.0,0.0,Variability in data,
Canada,Cars,LMO,BEV,2024,190000.0,1.0,Current Measures,0.0,Copper,440.3793092817998,0.0,No comparison,(Gr-LMO)
Canada,Cars,LMO,BEV,2024,190000.0,1.0,Current Measures,0.0,Lithium,355.95804320184345,0.0,Variability in data,mean of Variability in data
Canada,Cars,LMO,BEV,2024,190000.0,1.0,Current Measures,0.0,Manganese,1277.1002589838204,0.0,No comparison,(Gr-LMO)
Canada,Cars,NCA,BEV,2024,190000.0,1.0,Current Measures,1025296.9999999991,Cobalt,149.56368345160004,153.34719595187502,Small variability in data,mean of Small variability in data
Canada,Cars,NCA,BEV,2024,190000.0,1.0,Current Measures,1025296.9999999991,Copper,484.997905396169,497.26689740897547,Variability in data,mean of Variability in data
Canada,Cars,NCA,BEV,2024,190000.0,1.0,Current Measures,1025296.9999999991,Graphite,65.2555225805155,66.90629153523474,No comparison,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Cars,NCA,BEV,2024,190000.0,1.0,Current Measures,1025296.9999999991,Lithium,179.0,183.5281629999998,Small variability in data,mean of Small variability in data
Canada,Cars,NCA,BEV,2024,190000.0,1.0,Current Measures,1025296.9999999991,Manganese,59.41948687206784,60.922621631470484,Small variability in data,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Cars,NCA,BEV,2024,190000.0,1.0,Current Measures,1025296.9999999991,Nickel,791.469154288161,811.4909494841878,Small variability in data,mean of Small variability in data
Canada,Cars,NMC,BEV,2024,190000.0,1.0,Current Measures,5219604.000000002,Cobalt,216.0569064717551,1127.731493247599,Small variability in data,mean of Small variability in data
Canada,Cars,NMC,BEV,2024,190000.0,1.0,Current Measures,5219604.000000002,Copper,317.07315106442,1654.9962875884517,No comparison,(Gr-NMC)
Canada,Cars,NMC,BEV,2024,190000.0,1.0,Current Measures,5219604.000000002,Lithium,373.86187056491104,1951.4109150480926,Variability in data,mean of Variability in data
Canada,Cars,NMC,BEV,2024,190000.0,1.0,Current Measures,5219604.000000002,Manganese,158.5365755322099,827.4981437942253,No comparison,(Gr-NMC)
Canada,Cars,NMC,BEV,2024,190000.0,1.0,Current Measures,5219604.000000002,Nickel,563.6856690888599,2942.2159731188904,No comparison,(Gr-NMC)
Canada,Cars,Na-ion,BEV,2024,190000.0,1.0,Current Measures,233044.50000000006,Manganese,554.878014362737,129.31126941815688,Variability in data,
Canada,Cars,Na-ion,BEV,2024,190000.0,1.0,Current Measures,233044.50000000006,Nickel,334.688460516676,77.99730493687852,Small variability in data,
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Cobalt,216.0569064717551,151.23983453022856,Small variability in data,mean of Small variability in data
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Copper,317.07315106442,221.951205745094,No comparison,(Gr-NMC)
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Lithium,373.86187056491104,261.7033093954377,Variability in data,mean of Variability in data
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Manganese,158.5365755322099,110.97560287254693,No comparison,(Gr-NMC)
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Nickel,563.6856690888599,394.57996836220195,No comparison,(Gr-NMC)
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,342449.25,Aluminum,46.40007822418474,15.889671987813397,No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,342449.25,Cobalt,1536.85058087675,526.2933287833074,Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,342449.25,Copper,493.2248344592003,168.9044746419273,Variability in data,(Gr-LFP)
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,342449.25,Lithium,128.51391608843448,44.00949417904732,Small variability in data,mean of Small variability in data
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,342449.25,Manganese,1492.4507879970258,511.0886530114905,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
