Country,Mode,Battery_type,Powertrain,Year,EV_sales,Mass_vehicule,Scenario,Installed_battery_cap,Metal,Metal intensity (g/kWh),Metal_demand_t,Fiability_used,Comment
Canada,2 and 3 wheelers,LFP,BEV,2024,170.0,0.09808569078889517,Current Measures,510.0,Aluminum,46.40007822418474,0.023664039894334216,No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Canada,2 and 3 wheelers,LFP,BEV,2024,170.0,0.09808569078889517,Current Measures,510.0,Cobalt,1536.85058087675,0.7837937962471425,Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,2 and 3 wheelers,LFP,BEV,2024,170.0,0.09808569078889517,Current Measures,510.0,Copper,493.2248344592003,0.25154466557419214,Variability in data,(Gr-LFP)
Canada,2 and 3 wheelers,LFP,BEV,2024,170.0,0.09808569078889517,Current Measures,510.0,Lithium,128.51391608843448,0.06554209720510158,Small variability in data,mean of Small variability in data
Canada,2 and 3 wheelers,LFP,BEV,2024,170.0,0.09808569078889517,Current Measures,510.0,Manganese,1492.4507879970258,0.7611499018784831,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,2 and 3 wheelers,LFP,BEV,2024,170.0,0.09808569078889517,Current Measures,510.0,Nickel,140.0,0.0714,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Buses,NMC,BEV,2024,210.0,5.6752374182090595,Current Measures,63000.0,Cobalt,216.0569064717551,13.61158510772057,Small variability in data,mean of Small variability in data
Canada,Buses,NMC,BEV,2024,210.0,5.6752374182090595,Current Measures,63000.0,Copper,317.07315106442,19.97560851705846,No comparison,(Gr-NMC)
Canada,Buses,NMC,BEV,2024,210.0,5.6752374182090595,Current Measures,63000.0,Lithium,373.86187056491104,23.553297845589395,Variability in data,mean of Variability in data
Canada,Buses,NMC,BEV,2024,210.0,5.6752374182090595,Current Measures,63000.0,Manganese,158.5365755322099,9.987804258529223,No comparison,(Gr-NMC)
Canada,Buses,NMC,BEV,2024,210.0,5.6752374182090595,Current Measures,63000.0,Nickel,563.6856690888599,35.51219715259817,No comparison,(Gr-NMC)
Canada,Cars,LFP,BEV,2024,190000.0,1.0,Current Measures,1235000.0,Aluminum,46.40007822418474,57.30409660686816,No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,BEV,2024,190000.0,1.0,Current Measures,1235000.0,Cobalt,1536.85058087675,1898.0104673827864,Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,BEV,2024,190000.0,1.0,Current Measures,1235000.0,Copper,493.2248344592003,609.1326705571123,Variability in data,(Gr-LFP)
Canada,Cars,LFP,BEV,2024,190000.0,1.0,Current Measures,1235000.0,Lithium,128.51391608843448,158.7146863692166,Small variability in data,mean of Small variability in data
Canada,Cars,LFP,BEV,2024,190000.0,1.0,Current Measures,1235000.0,Manganese,1492.4507879970258,1843.176723176327,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LFP,BEV,2024,190000.0,1.0,Current Measures,1235000.0,Nickel,140.0,172.9,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Cars,LMO,BEV,2024,190000.0,1.0,Current Measures,123500.0,Cobalt,500.0,61.75,Variability in data,
Canada,Cars,LMO,BEV,2024,190000.0,1.0,Current Measures,123500.0,Copper,440.3793092817998,54.38684469630227,No comparison,(Gr-LMO)
Canada,Cars,LMO,BEV,2024,190000.0,1.0,Current Measures,123500.0,Lithium,355.95804320184345,43.96081833542767,Variability in data,mean of Variability in data
Canada,Cars,LMO,BEV,2024,190000.0,1.0,Current Measures,123500.0,Manganese,1277.1002589838204,157.7218819845018,No comparison,(Gr-LMO)
Canada,Cars,NCA,BEV,2024,190000.0,1.0,Current Measures,3581499.9999999995,Cobalt,149.56368345160004,535.6623322819055,Small variability in data,mean of Small variability in data
Canada,Cars,NCA,BEV,2024,190000.0,1.0,Current Measures,3581499.9999999995,Copper,484.997905396169,1737.0199981763792,Variability in data,mean of Variability in data
Canada,Cars,NCA,BEV,2024,190000.0,1.0,Current Measures,3581499.9999999995,Graphite,65.2555225805155,233.71265412211625,No comparison,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Cars,NCA,BEV,2024,190000.0,1.0,Current Measures,3581499.9999999995,Lithium,179.0,641.0884999999998,Small variability in data,mean of Small variability in data
Canada,Cars,NCA,BEV,2024,190000.0,1.0,Current Measures,3581499.9999999995,Manganese,59.41948687206784,212.81089223231095,Small variability in data,"(battery production, Li-ion, NCA, rechargeable)"
Canada,Cars,NCA,BEV,2024,190000.0,1.0,Current Measures,3581499.9999999995,Nickel,791.469154288161,2834.6467760830483,Small variability in data,mean of Small variability in data
Canada,Cars,NMC,BEV,2024,190000.0,1.0,Current Measures,6545500.0,Cobalt,216.0569064717551,1414.200481310873,Small variability in data,mean of Small variability in data
Canada,Cars,NMC,BEV,2024,190000.0,1.0,Current Measures,6545500.0,Copper,317.07315106442,2075.402310292161,No comparison,(Gr-NMC)
Canada,Cars,NMC,BEV,2024,190000.0,1.0,Current Measures,6545500.0,Lithium,373.86187056491104,2447.1128737826252,Variability in data,mean of Variability in data
Canada,Cars,NMC,BEV,2024,190000.0,1.0,Current Measures,6545500.0,Manganese,158.5365755322099,1037.7011551460798,No comparison,(Gr-NMC)
Canada,Cars,NMC,BEV,2024,190000.0,1.0,Current Measures,6545500.0,Nickel,563.6856690888599,3689.6045470211325,No comparison,(Gr-NMC)
Canada,Cars,Na-ion,BEV,2024,190000.0,1.0,Current Measures,741000.0,Manganese,554.878014362737,411.1646086427881,Variability in data,
Canada,Cars,Na-ion,BEV,2024,190000.0,1.0,Current Measures,741000.0,Nickel,334.688460516676,248.00414924285693,Small variability in data,
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Cobalt,216.0569064717551,151.23983453022856,Small variability in data,mean of Small variability in data
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Copper,317.07315106442,221.951205745094,No comparison,(Gr-NMC)
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Lithium,373.86187056491104,261.7033093954377,Variability in data,mean of Variability in data
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Manganese,158.5365755322099,110.97560287254693,No comparison,(Gr-NMC)
Canada,Trucks,NMC,BEV,2024,2000.0,3.6892781241792854,Current Measures,700000.0,Nickel,563.6856690888599,394.57996836220195,No comparison,(Gr-NMC)
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,82500.0,Aluminum,46.40007822418474,3.8280064534952407,No comparison,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,82500.0,Cobalt,1536.85058087675,126.79017292233186,Important variability in data,"(battery production, Li-ion, LFP, rechargeable)"
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,82500.0,Copper,493.2248344592003,40.69104884288403,Variability in data,(Gr-LFP)
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,82500.0,Lithium,128.51391608843448,10.602398077295845,Small variability in data,mean of Small variability in data
Canada,Vans,LFP,BEV,2024,11000.0,1.9577507575642077,Current Measures,82500.0,Manganese,1492.4507879970258,123.12719000975463,Variability in data,"(battery production, Li-ion, LFP, rechargeable)"
