Scenario,Country,Year,Technology,Metal,Metal_demand_t,Mode,Powertain,Powertrain
Canada Net-zero,Canada,2025,Bioenergy,Aluminum,7003.36,,,
Canada Net-zero,Canada,2025,Bioenergy,Chromium,5.3872,,,
Canada Net-zero,Canada,2025,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2025,Bioenergy,Concrete,428282.4,,,
Canada Net-zero,Canada,2025,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2025,Bioenergy,Iron,115279.21131999999,,,
Canada Net-zero,Canada,2025,Bioenergy,Lead,280.1344,,,
Canada Net-zero,Canada,2025,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2025,Bioenergy,Zinc,430.976,,,
Canada Net-zero,Canada,2026,Bioenergy,Aluminum,7003.36,,,
Canada Net-zero,Canada,2026,Bioenergy,Chromium,5.3872,,,
Canada Net-zero,Canada,2026,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2026,Bioenergy,Concrete,428282.4,,,
Canada Net-zero,Canada,2026,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2026,Bioenergy,Iron,115279.21131999999,,,
Canada Net-zero,Canada,2026,Bioenergy,Lead,280.1344,,,
Canada Net-zero,Canada,2026,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2026,Bioenergy,Zinc,430.976,,,
Canada Net-zero,Canada,2027,Bioenergy,Aluminum,7003.36,,,
Canada Net-zero,Canada,2027,Bioenergy,Chromium,5.3872,,,
Canada Net-zero,Canada,2027,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2027,Bioenergy,Concrete,428282.4,,,
Canada Net-zero,Canada,2027,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2027,Bioenergy,Iron,115279.21131999999,,,
Canada Net-zero,Canada,2027,Bioenergy,Lead,280.1344,,,
Canada Net-zero,Canada,2027,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2027,Bioenergy,Zinc,430.976,,,
Canada Net-zero,Canada,2028,Bioenergy,Aluminum,7003.36,,,
Canada Net-zero,Canada,2028,Bioenergy,Chromium,5.3872,,,
Canada Net-zero,Canada,2028,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2028,Bioenergy,Concrete,428282.4,,,
Canada Net-zero,Canada,2028,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2028,Bioenergy,Iron,115279.21131999999,,,
Canada Net-zero,Canada,2028,Bioenergy,Lead,280.1344,,,
Canada Net-zero,Canada,2028,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2028,Bioenergy,Zinc,430.976,,,
Canada Net-zero,Canada,2029,Bioenergy,Aluminum,7003.36,,,
Canada Net-zero,Canada,2029,Bioenergy,Chromium,5.3872,,,
Canada Net-zero,Canada,2029,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2029,Bioenergy,Concrete,428282.4,,,
Canada Net-zero,Canada,2029,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2029,Bioenergy,Iron,115279.21131999999,,,
Canada Net-zero,Canada,2029,Bioenergy,Lead,280.1344,,,
Canada Net-zero,Canada,2029,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2029,Bioenergy,Zinc,430.976,,,
Canada Net-zero,Canada,2030,Bioenergy,Aluminum,7003.36,,,
Canada Net-zero,Canada,2030,Bioenergy,Chromium,5.3872,,,
Canada Net-zero,Canada,2030,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2030,Bioenergy,Concrete,428282.4,,,
Canada Net-zero,Canada,2030,Bioenergy,Copper,5986.526,,,
