Country,Mode,Powertrain,Year,EV_sales,Mass_vehicule,Scenario,Technology,Sub-technology,Metal,Metal intensity (kg/vehicle),Metal_demand_t,Fiability_used,Comment
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle motor,PM,Copper,13884.5,231.5180315389306,No comparison,
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle motor,PM,Dysprosium,83.0,1.3839890970313111,Variability in data,
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle motor,PM,Neodymium,695.0,11.588824366707966,Small variability in data,
Canada,2 and 3 wheelers,BEV,2024,170.0,0.09808569078889517,Current Measures,Vehicle motor,PM,Praesodymium,1.0,0.01667456743411218,No comparison,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle motor,PM,Copper,13884.5,16547.545125955974,No comparison,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle motor,PM,Dysprosium,83.0,98.91938819938392,Variability in data,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle motor,PM,Neodymium,695.0,828.3009011876123,Small variability in data,
Canada,Buses,BEV,2024,210.0,5.6752374182090595,Current Measures,Vehicle motor,PM,Praesodymium,1.0,1.1917998578239026,No comparison,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle motor,PM,Copper,13884.5,2638055.0,No comparison,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle motor,PM,Dysprosium,83.0,15770.0,Variability in data,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle motor,PM,Neodymium,695.0,132050.0,Small variability in data,
Canada,Cars,BEV,2024,190000.0,1.0,Current Measures,Vehicle motor,PM,Praesodymium,1.0,190.0,No comparison,
Canada,Trucks,BEV,2024,2000.0,3.6892781241792854,Current Measures,Vehicle motor,PM,Copper,13884.5,102447.56423033458,No comparison,
Canada,Trucks,BEV,2024,2000.0,3.6892781241792854,Current Measures,Vehicle motor,PM,Dysprosium,83.0,612.4201686137615,Variability in data,
Canada,Trucks,BEV,2024,2000.0,3.6892781241792854,Current Measures,Vehicle motor,PM,Neodymium,695.0,5128.096592609207,Small variability in data,
