Scenario,Country,Year,Technology,Metal,Metal_demand_t,Mode,Powertain,Powertrain
Canada Net-zero,Canada,2020,Bioenergy,Cobalt,5.0482,,,
Canada Net-zero,Canada,2020,Bioenergy,Copper,5609.81225,,,
Canada Net-zero,Canada,2020,Bioenergy,Nickel,50.482,,,
Canada Net-zero,Canada,2021,Bioenergy,Cobalt,5.0862,,,
Canada Net-zero,Canada,2021,Bioenergy,Copper,5652.03975,,,
Canada Net-zero,Canada,2021,Bioenergy,Nickel,50.861999999999995,,,
Canada Net-zero,Canada,2022,Bioenergy,Cobalt,5.0862,,,
Canada Net-zero,Canada,2022,Bioenergy,Copper,5652.03975,,,
Canada Net-zero,Canada,2022,Bioenergy,Nickel,50.861999999999995,,,
Canada Net-zero,Canada,2023,Bioenergy,Cobalt,5.0862,,,
Canada Net-zero,Canada,2023,Bioenergy,Copper,5652.03975,,,
Canada Net-zero,Canada,2023,Bioenergy,Nickel,50.861999999999995,,,
Canada Net-zero,Canada,2024,Bioenergy,Cobalt,5.0862,,,
Canada Net-zero,Canada,2024,Bioenergy,Copper,5652.03975,,,
Canada Net-zero,Canada,2024,Bioenergy,Nickel,50.861999999999995,,,
Canada Net-zero,Canada,2025,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2025,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2025,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2026,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2026,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2026,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2027,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2027,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2027,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2028,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2028,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2028,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2029,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2029,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2029,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2030,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2030,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2030,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2031,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2031,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2031,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2032,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2032,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2032,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2033,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2033,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2033,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2034,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2034,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2034,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2035,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2035,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2035,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2036,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2036,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2036,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2037,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2037,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2037,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2038,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2038,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2038,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2039,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2039,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2039,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2040,Bioenergy,Cobalt,5.3872,,,
Canada Net-zero,Canada,2040,Bioenergy,Copper,5986.526,,,
Canada Net-zero,Canada,2040,Bioenergy,Nickel,53.872,,,
Canada Net-zero,Canada,2041,Bioenergy,Cobalt,6.2132,,,
Canada Net-zero,Canada,2041,Bioenergy,Copper,6904.4185,,,
Canada Net-zero,Canada,2041,Bioenergy,Nickel,62.132,,,
Canada Net-zero,Canada,2042,Bioenergy,Cobalt,7.0531999999999995,,,
Canada Net-zero,Canada,2042,Bioenergy,Copper,7837.8685,,,
Canada Net-zero,Canada,2042,Bioenergy,Nickel,70.532,,,
Canada Net-zero,Canada,2043,Bioenergy,Cobalt,7.8732,,,
Canada Net-zero,Canada,2043,Bioenergy,Copper,8749.093499999999,,,
Canada Net-zero,Canada,2043,Bioenergy,Nickel,78.732,,,
Canada Net-zero,Canada,2044,Bioenergy,Cobalt,8.7132,,,
Canada Net-zero,Canada,2044,Bioenergy,Copper,9682.5435,,,
Canada Net-zero,Canada,2044,Bioenergy,Nickel,87.132,,,
Canada Net-zero,Canada,2045,Bioenergy,Cobalt,9.5532,,,
Canada Net-zero,Canada,2045,Bioenergy,Copper,10615.9935,,,
Canada Net-zero,Canada,2045,Bioenergy,Nickel,95.53200000000001,,,
Canada Net-zero,Canada,2046,Bioenergy,Cobalt,10.193200000000001,,,
Canada Net-zero,Canada,2046,Bioenergy,Copper,11327.193500000001,,,
Canada Net-zero,Canada,2046,Bioenergy,Nickel,101.93200000000002,,,
Canada Net-zero,Canada,2047,Bioenergy,Cobalt,10.833200000000001,,,
Canada Net-zero,Canada,2047,Bioenergy,Copper,12038.393500000002,,,
Canada Net-zero,Canada,2047,Bioenergy,Nickel,108.33200000000002,,,
Canada Net-zero,Canada,2048,Bioenergy,Cobalt,11.4732,,,
Canada Net-zero,Canada,2048,Bioenergy,Copper,12749.5935,,,
Canada Net-zero,Canada,2048,Bioenergy,Nickel,114.732,,,
Canada Net-zero,Canada,2049,Bioenergy,Cobalt,12.1332,,,
Canada Net-zero,Canada,2049,Bioenergy,Copper,13483.0185,,,
Canada Net-zero,Canada,2049,Bioenergy,Nickel,121.33200000000001,,,
Canada Net-zero,Canada,2050,Bioenergy,Cobalt,12.773200000000001,,,
Canada Net-zero,Canada,2050,Bioenergy,Copper,14194.2185,,,
Canada Net-zero,Canada,2050,Bioenergy,Nickel,127.73200000000001,,,
Canada Net-zero,Canada,2020,Bioenergy with CCUS,Cobalt,0.0,,,
Canada Net-zero,Canada,2020,Bioenergy with CCUS,Copper,0.0,,,
Canada Net-zero,Canada,2020,Bioenergy with CCUS,Nickel,0.0,,,
Canada Net-zero,Canada,2021,Bioenergy with CCUS,Cobalt,0.0,,,
Canada Net-zero,Canada,2021,Bioenergy with CCUS,Copper,0.0,,,
Canada Net-zero,Canada,2021,Bioenergy with CCUS,Nickel,0.0,,,
Canada Net-zero,Canada,2022,Bioenergy with CCUS,Cobalt,0.0,,,
Canada Net-zero,Canada,2022,Bioenergy with CCUS,Copper,0.0,,,
Canada Net-zero,Canada,2022,Bioenergy with CCUS,Nickel,0.0,,,
Canada Net-zero,Canada,2023,Bioenergy with CCUS,Cobalt,0.0,,,
Canada Net-zero,Canada,2023,Bioenergy with CCUS,Copper,0.0,,,
Canada Net-zero,Canada,2023,Bioenergy with CCUS,Nickel,0.0,,,
Canada Net-zero,Canada,2024,Bioenergy with CCUS,Cobalt,0.0,,,
Canada Net-zero,Canada,2024,Bioenergy with CCUS,Copper,0.0,,,
Canada Net-zero,Canada,2024,Bioenergy with CCUS,Nickel,0.0,,,
Canada Net-zero,Canada,2025,Bioenergy with CCUS,Cobalt,0.0,,,
Canada Net-zero,Canada,2025,Bioenergy with CCUS,Copper,0.0,,,
Canada Net-zero,Canada,2025,Bioenergy with CCUS,Nickel,0.0,,,
Canada Net-zero,Canada,2026,Bioenergy with CCUS,Cobalt,0.0,,,
Canada Net-zero,Canada,2026,Bioenergy with CCUS,Copper,0.0,,,
Canada Net-zero,Canada,2026,Bioenergy with CCUS,Nickel,0.0,,,
Canada Net-zero,Canada,2027,Bioenergy with CCUS,Cobalt,0.0,,,
Canada Net-zero,Canada,2027,Bioenergy with CCUS,Copper,0.0,,,
Canada Net-zero,Canada,2027,Bioenergy with CCUS,Nickel,0.0,,,
Canada Net-zero,Canada,2028,Bioenergy with CCUS,Cobalt,0.0,,,
Canada Net-zero,Canada,2028,Bioenergy with CCUS,Copper,0.0,,,
Canada Net-zero,Canada,2028,Bioenergy with CCUS,Nickel,0.0,,,
Canada Net-zero,Canada,2029,Bioenergy with CCUS,Cobalt,0.0,,,
Canada Net-zero,Canada,2029,Bioenergy with CCUS,Copper,0.0,,,
Canada Net-zero,Canada,2029,Bioenergy with CCUS,Nickel,0.0,,,
Canada Net-zero,Canada,2030,Bioenergy with CCUS,Cobalt,0.0,,,
Canada Net-zero,Canada,2030,Bioenergy with CCUS,Copper,0.0,,,
Canada Net-zero,Canada,2030,Bioenergy with CCUS,Nickel,0.0,,,
Canada Net-zero,Canada,2031,Bioenergy with CCUS,Cobalt,2.904,,,
Canada Net-zero,Canada,2031,Bioenergy with CCUS,Copper,846.3708,,,
Canada Net-zero,Canada,2031,Bioenergy with CCUS,Nickel,338.316,,,
Canada Net-zero,Canada,2032,Bioenergy with CCUS,Cobalt,5.796,,,
Canada Net-zero,Canada,2032,Bioenergy with CCUS,Copper,1689.2442,,,
Canada Net-zero,Canada,2032,Bioenergy with CCUS,Nickel,675.234,,,
Canada Net-zero,Canada,2033,Bioenergy with CCUS,Cobalt,8.7,,,
Canada Net-zero,Canada,2033,Bioenergy with CCUS,Copper,2535.615,,,
Canada Net-zero,Canada,2033,Bioenergy with CCUS,Nickel,1013.55,,,
Canada Net-zero,Canada,2034,Bioenergy with CCUS,Cobalt,11.594,,,
Canada Net-zero,Canada,2034,Bioenergy with CCUS,Copper,3379.0713,,,
Canada Net-zero,Canada,2034,Bioenergy with CCUS,Nickel,1350.701,,,
Canada Net-zero,Canada,2035,Bioenergy with CCUS,Cobalt,14.505999999999998,,,
Canada Net-zero,Canada,2035,Bioenergy with CCUS,Copper,4227.7737,,,
Canada Net-zero,Canada,2035,Bioenergy with CCUS,Nickel,1689.9489999999998,,,
Canada Net-zero,Canada,2036,Bioenergy with CCUS,Cobalt,17.61,,,
Canada Net-zero,Canada,2036,Bioenergy with CCUS,Copper,5132.434499999999,,,
Canada Net-zero,Canada,2036,Bioenergy with CCUS,Nickel,2051.565,,,
Canada Net-zero,Canada,2037,Bioenergy with CCUS,Cobalt,20.76,,,
Canada Net-zero,Canada,2037,Bioenergy with CCUS,Copper,6050.502,,,
Canada Net-zero,Canada,2037,Bioenergy with CCUS,Nickel,2418.54,,,
Canada Net-zero,Canada,2038,Bioenergy with CCUS,Cobalt,23.82,,,
Canada Net-zero,Canada,2038,Bioenergy with CCUS,Copper,6942.339,,,
Canada Net-zero,Canada,2038,Bioenergy with CCUS,Nickel,2775.03,,,
Canada Net-zero,Canada,2039,Bioenergy with CCUS,Cobalt,27.0,,,
Canada Net-zero,Canada,2039,Bioenergy with CCUS,Copper,7869.150000000001,,,
Canada Net-zero,Canada,2039,Bioenergy with CCUS,Nickel,3145.5,,,
Canada Net-zero,Canada,2040,Bioenergy with CCUS,Cobalt,30.04,,,
Canada Net-zero,Canada,2040,Bioenergy with CCUS,Copper,8755.158,,,
Canada Net-zero,Canada,2040,Bioenergy with CCUS,Nickel,3499.66,,,
Canada Net-zero,Canada,2041,Bioenergy with CCUS,Cobalt,33.46,,,
Canada Net-zero,Canada,2041,Bioenergy with CCUS,Copper,9751.917,,,
Canada Net-zero,Canada,2041,Bioenergy with CCUS,Nickel,3898.09,,,
Canada Net-zero,Canada,2042,Bioenergy with CCUS,Cobalt,36.7,,,
Canada Net-zero,Canada,2042,Bioenergy with CCUS,Copper,10696.215,,,
